web-scraper-order,web-scraper-start-url,Chiens,Chiens-href,Nom,Prix,Adresse,Image-src
"1739187797-15","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chien-rottweiler-1122493","Chien Rottweiler","375 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1122493_uploaded_image1_1572275963.13.png"
"1739187801-16","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-1123229","Chiots Berger Allemand","350 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4837526_uploaded_image1_1720683729.jpg"
"1739187806-17","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/pitbull-1139092","Chien Pittbull","350 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3474335_uploaded_image1_1638955282.jpg"
"1739187809-18","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-de-race-pure-1148739","Chiots Berger Allemand de race pure","125 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1148739_uploaded_image1_1572796180.58.png"
"1739187813-19","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/berger-blanc-1163882","Chiot Berger allemand","300 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4396584_uploaded_image1_1696077607.jpg"
"1739187817-20","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/bichons-malte-1176190","Bichons malté","180 000 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_1176190_uploaded_image1_1573296965.03.png"
"1739187821-21","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/bergers-labrador-pitbull-rottweiler-1184876","Bergers - labrador - pitbull - rottweiler","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_1184876_uploaded_image1_1573492032.86.png"
"1739187824-22","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/bichon-maltais-1208713","Chiots Bichon Maltais","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5002622_uploaded_image1_1729418106.jpg"
"1739187828-23","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-1279844","Chiots Cane Corso","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2996177_uploaded_image1_1615461551.jpg"
"1739187831-24","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chien-pitbull-1339794","Chien Pitbull","150 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1339794_uploaded_image1_1576322961.44.png"
"1739187834-25","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-shih-tzu-1381280","Chiots shih tzu","250 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2536904_uploaded_image1_1597236557.jpg"
"1739187838-26","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-1387279","Chiots Berger Allemand","350 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4837526_uploaded_image1_1720683729.jpg"
"1739187842-27","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-dalmatiens-1396092","Chiots Dalmatiens","450 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1396092_uploaded_image1_1577444313.67.png"
"1739187846-28","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/bebe-lhasa-apso-1426072","","","",""
"1739187849-29","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-chowchow-1444195","Chiots Chowchow","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2636642_uploaded_image1_1600483273.jpg"
"1739187853-30","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/spitz-nain-1455313","Spitz nain","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1739187857-31","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-husky-siberien-dog-argentin-cane-corso-1477206","Chiots husky sibérien - dog argentin - cane corso","350 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1477206_uploaded_image1_1578994405.03.png"
"1739187861-32","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/caniche-1502314","Caniche","200 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4634226_uploaded_image1_1710001956.jpg"
"1739187865-33","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/caniches-1502318","Chiot  Caniche","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4330813_uploaded_image1_1691723836.jpg"
"1739187869-34","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/caniche-1502366","Caniche","200 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4634226_uploaded_image1_1710001956.jpg"
"1739187873-35","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-akita-americain-1536386","Chiots akita américain","990 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1536386_uploaded_image1_1580821754.85.png"
"1739187876-36","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-hight-quality-husky-siberien-1568103","Chiots Hight quality husky Sibérien","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1568103_uploaded_image1_1580413061.76.png"
"1739187879-37","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiot-spitz-nain-1571895","Chiot Spitz Nain Pomeranien","Prix sur demande","Fann-Point E-Amitié, Dakar, Sénégal","https://images.coinafrique.com/thumb_4105901_uploaded_image1_1677094228.jpg"
"1739187881-38","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/spitz-pomperanian-nain-1592536","Chiots Spitz nain Pomeranian","1 900 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2578678_uploaded_image1_1598473259.jpg"
"1739187884-39","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/doberman-lignee-europeenne-1592645","Chiots Doberman","Prix sur demande","Fann-Point E-Amitié, Dakar, Sénégal","https://images.coinafrique.com/thumb_3495193_uploaded_image1_1640255635.jpg"
"1739187887-40","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/pekinois-1592664","Chiots Pékinois","Prix sur demande","Fann-Point E-Amitié, Dakar, Sénégal","https://images.coinafrique.com/thumb_3498824_uploaded_image1_1640602505.jpg"
"1739187889-41","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/doberman-1621541","Doberman","400 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1621541_uploaded_image1_1581266142.61.png"
"1739187892-42","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiot-berger-belge-malinois-1628361","Chiot berger belge malinois","175 000 CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_1628361_uploaded_image1_1581360490.25.png"
"1739187894-43","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/cani-corso-1716117","Cani corso","600 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1716117_uploaded_image1_1582837304.5.png"
"1739187896-44","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chien-bichon-1733519","Chien Bichon","150 000 CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_4124637_uploaded_image1_1678229133.jpg"
"1739187899-45","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/doberman-pure-souche-1803179","Doberman pure souche","350 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1803179_uploaded_image1_1584379219.84.png"
"1739187907-46","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chien-dogue-allemand-1840570","Chien Dogue Allemand","Prix sur demande","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1840570_uploaded_image2_1585048708.25.png"
"1739187909-47","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/caniches-1840583","Caniche","200 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4634226_uploaded_image1_1710001956.jpg"
"1739187911-48","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-spitz-nain-pomeranian-1862107","Chiot Spitz Nain Pomeranien","Prix sur demande","Fann-Point E-Amitié, Dakar, Sénégal","https://images.coinafrique.com/thumb_4105901_uploaded_image1_1677094228.jpg"
"1739187914-49","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-shiba-inu-1862112","Chiots Shiba inu","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862112_uploaded_image1_1585456241.69.png"
"1739187916-50","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-pekinois-pure-race-1862142","Chiots pékinois pure race","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862142_uploaded_image1_1585459853.32.png"
"1739187919-51","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-dogue-allemand-1862148","Chiots Dogue allemand","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862148_uploaded_image1_1585459981.26.png"
"1739187921-52","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/femelle-dogue-de-bordeaux-1862155","Femelle dogue de Bordeaux","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862155_uploaded_image1_1585460203.94.png"
"1739187924-53","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/bulldog-anglais-1862159","Chiot bulldog anglais","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2593026_uploaded_image1_1599001771.jpg"
"1739187927-54","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/labrador-1869479","Chiot","100 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3424026_uploaded_image3_1636184109.jpeg"
"1739187929-55","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/metisse-chiots-rottweiler-1890049","Métisse chiots rottweiler","50 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890049_uploaded_image1_1585932795.82.png"
"1739187932-56","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiens-malinois-1904735","Chiens Malinois","300 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1904735_uploaded_image1_1586214527.85.png"
"1739187934-57","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-boxer-1935386","Chiot boxer","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1935386_uploaded_image1_1586726128.5.png"
"1739187936-58","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-labrador-1935397","Chiots Labrador","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1935397_uploaded_image1_1586726397.65.png"
"1739187939-59","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chien-1940062","Chien","275 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5124976_uploaded_image1_1736338081.jpg"
"1739187941-60","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chien-1940073","Chien","275 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5124976_uploaded_image1_1736338081.jpg"
"1739187944-61","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-1959031","Chiots Pitbull","200 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4951773_uploaded_image1_1726751081.jpg"
"1739187946-62","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/femelles-metisse-rock-4-chiennes-1984265","Femelles  métisse rock / 4 chiennes","50 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1984265_uploaded_image1_1587479748.47.jpeg"
"1739187948-63","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-chowchow-2047517","Chiots Chowchow","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2636642_uploaded_image1_1600483273.jpg"
"1739187951-64","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-2062558","Chiot Berger Allemand","250 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2062558_uploaded_image1_1588702072.jpg"
"1739187953-65","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-can-corso-2062566","Chiot Can Corso","300 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2062566_uploaded_image1_1588702172.jpg"
"1739187956-66","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/berger-malinois-charbone-2063869","Berger malinois charboné","300 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2063869_uploaded_image1_1588722042.jpg"
"1739187958-67","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-berger-amstaff-2082208","Chiots Berger Amstaff","130 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2082208_uploaded_image1_1588983812.jpg"
"1739187961-68","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-yorkshire-caniche-2107633","Chiots Yorkshire/caniche","200 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2107633_uploaded_image1_1589392557.jpg"
"1739187963-69","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-rockweile-2119461","Chiots rockweile","290 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2119461_uploaded_image1_1589565559.jpg"
"1739187966-70","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2151223","Chiot Rottweiler","250 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5004868_uploaded_image1_1729539442.jpg"
"1739187968-71","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-yorkie-chon-2151616","","","",""
"1739187971-72","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-chowchow-2155097","Chiots Chowchow","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2636642_uploaded_image1_1600483273.jpg"
"1739187973-73","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/bichons-2181152","Bichons","350 000 CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_2181152_uploaded_image1_1590585289.jpg"
"1739187976-74","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chien-2209275","Chien","65 000 CFA","Gibraltar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2209275_uploaded_image1_1591023390.jpg"
"1739187978-75","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/berger-blanc-suisse-2211811","Chiot  Berger Allemand","200 000 CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_4296542_uploaded_image1_1689515237.jpg"
"1739187980-76","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/berger-allemand-pure-sang-2217466","Berger allemand pur sang","150 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2217470_uploaded_image1_1591135735.jpg"
"1739187983-77","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/berger-allemand-pur-sang-2217470","Berger allemand pur sang","150 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2217470_uploaded_image1_1591135735.jpg"
"1739187986-78","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-2230488","Chiot Berger Allemand","350 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5016564_uploaded_image1_1730217865.jpg"
"1739187988-79","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-berger-belge-malinois-2244294","Chiots  Malinois","225 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4318517_uploaded_image1_1690980921.jpg"
"1739187991-80","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-berger-blanc-2250259","Chiot  Berger Allemand","200 000 CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_4296542_uploaded_image1_1689515237.jpg"
"1739187993-81","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-berger-2277897","Chiots Berger Allemand","250 000 CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_5013765_uploaded_image1_1730056659.jpg"
"1739187996-82","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2299686","Chiot Rottweiler","250 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5004868_uploaded_image1_1729539442.jpg"
"1739187998-83","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/berger-allemand-femelle-2300480","Berger Allemand femelle","250 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_2300480_uploaded_image1_1592400668.jpg"
"1739188000-84","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/caniche-2308946","Chiot  Caniche","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4330813_uploaded_image1_1691723836.jpg"
"1739188003-85","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-2324363","Chiots Bichon Maltais","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5002622_uploaded_image1_1729418106.jpg"
"1739188006-86","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chien-berger-malinois-2331869","Chiot","100 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3424026_uploaded_image3_1636184109.jpeg"
"1739188008-87","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/berger-allemand-2354463","Chiot Berger Allemand","250 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5131922_uploaded_image1_1736729395.jpg"
"1739188011-88","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-yorkie-2373725","Chiot yorkie","300 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2373725_uploaded_image1_1593562231.jpg"
"1739188013-89","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/berger-allemand-2374457","Chiot Berger Allemand","250 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5131922_uploaded_image1_1736729395.jpg"
"1739188016-90","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiot-caniche-2417666","Chiot Caniche bichon","150 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4117078_uploaded_image1_1677779647.jpg"
"1739188018-91","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/malinois-pur-sang-2425090","Chiot Malinois","200 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4312162_uploaded_image1_1690550986.jpg"
"1739188021-92","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-2441977","Chiots malinois","280 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4118286_uploaded_image1_1677846223.jpg"
"1739188023-93","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-2443734","Chiots bichons","200 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2443734_uploaded_image1_1594839124.jpg"
"1739188026-94","https://sn.coinafrique.com/categorie/chiens?page=9","favorite_border4années","https://sn.coinafrique.com/annonce/chiens/chiots-2452744","Chiot","500 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5159624_uploaded_image1_1738174976.jpg"
